TV FFN,SPN,Dr. Who,Sherlock,Star Trek,Glee,OuaT,Buffy,Merlin,Stargate,Teen Wolf,TWD,X-Files,,Total,,(MCU Quarantine ?),,Agents of SHIELD,Agent Carter,Daredevil,Jessica Jones,WandaVision
"Apr 29, 99",,12,,82,,,78,,1,,,303,,=SUM(B2:M2),,,,,,,,
"May 11, 00",,33,,=137+55+51+36+233,,,686,,94,,,852,,=SUM(B3:M3),,,,,,,,
"Oct 13, 00",,44,,=3+192+103+97+75+557,,,"1,521",,165,,,"1,375",,=SUM(B4:M4),,,,,,,,
"Apr 13, 01",,100,,=248+114+174+117+944,,,"2,843",,412,,,"2,040",,=SUM(B5:M5),,,,,,,,
"Jul 11, 01",,124,,=293+146+233+145+1415,,,"4,815",,591,,,"2,465",,=SUM(B6:M6),,,,,,,,
"Sep 10, 01",,143,,=317+15+155+267+186+1655,,,"6,020",,710,,,"2,710",,=SUM(B7:M7),,,,,,,,
"Dec 12, 01",,149,,"2,883",,,"6,985",,800,,,"2,876",,=SUM(B8:M8),,,,,,,,
"Jan 23, 02",,168,,=341+174+196+330+217+2050,,,"7,943",,897,,,"3,002",,=SUM(B9:M9),,,,,,,,
"Apr 5, 02",,180,,=360+336+225+386+227+2312,,,"9,911",,"1,109",,,"3,351",,=SUM(B10:M10),,,,,,,,
"Jun 1, 02",,217,,"4,365",,,"11,352",,"1,244",,,"3,599",,=SUM(B11:M11),,,,,,,,
"Aug 10, 02",,233,,"4,614",,,"12,478",,"1,387",,,"3,637",,=SUM(B12:M12),,,,,,,,
"Oct 3, 02",,245,,=375+753+297+484+335+2644,,,"13,478",,"1,581",,,"3,877",,=SUM(B13:M13),,,,,,,,
"Dec 11, 02",,273,,"4,870",,,"13,045",,"1,761",,,"3,586",,=SUM(B14:M14),,,,,,,,
"Feb 10, 03",,313,,"5,273",,,"14,248",,"2,205",,,"3,772",,=SUM(B15:M15),,,,,,,,
"Apr 1, 03",,331,,=349+995+353+604+405+2825,,,"15,345",,"2,479",,,"3,872",,=SUM(B16:M16),,,,,,,,
"Jun 2, 03",,348,,"5,900",,,"16,728",,"2,879",,,"4,100",,=SUM(B17:M17),,,,,,,,
,,,,,,,,,,,,,,=SUM(B29:M29),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sep 6, 04",,615,,=456+1910+498+943+867+3470,,,"23,625",,=137+6647,,,"4,934",,=SUM(B20:M20),,,,,,,,
"Oct 12, 04",,610,,"8,270",,,"24,051",,"7,049",,,"4,990",,=SUM(B21:M21),,,,,,,,
"Dec 11, 04",,650,,"8,488",,,"24,813",,"8,069",,,"5,092",,=SUM(B22:M22),,,,,,,,
"Jan 1, 05",,658,,=476+2066+518+1006+931+3572,,,"25,073",,=493+7873,,,"5,123",,=SUM(B23:M23),,,,,,,,
"Apr 1, 05",,697,,=497+2181+547+1039+992+3673,,,"26,093",,=8877+942,,,"5,305",,=SUM(B24:M24),,,,,,,,
"Oct 16, 06","4,373","4,197",,=626+2694+731+1344+1325+4220,,,"29,919",,=5985+13723,,,"6,192",,=SUM(B25:M25),,,,,,,,
"Jun 30, 07","9,238","6,902",,=678+2835+788+1439+1522+4548,,,"31,181",,=8422+16024,,,"6,523",,=SUM(B26:M26),,,,,,,,
"Sep 29, 07","10,932","8,028",,"12,018",,,"31,560",,"25,595",,,"6,613",,=SUM(B27:M27),,,,,,,,
"Feb 24, 09","21,388","14,422",,=787+3233+886+1715+1895+5488,,,"33,895",657,=13527+20128,,,"7,636",,=SUM(B28:M28),,,,,,,,
"Oct 27, 09","29,027","17,179",,=894+3351+1014+1985+2480+5916,=505,,"37,044","1,832",=14925+21578,,,"8,137",,=SUM(B29:M29),,,,,,,,
,,,,,"3,351",,,,,,,,,=SUM(B46:M46),,,,,,,,
"Mar 27, 10","34,156","19,100",,=948+3439+1080+2114+2872+6173,"3,458",,"38,267","3,199",=15558+22438+196,,,"8,356",,=SUM(B31:M31),,,,,,,,
"Jun 12, 10","37,140","20,580",,=992+3486+1109+2185+3038+6291,"6,073",,"38,871","3,730",=15860+22796+305,,,"8,412",,=SUM(B32:M32),,,,,,,,
,,,,,,,,,,,,,,=SUM(B51:M51),,,,,,,,
,,,,,,,,,,,,,,=SUM(B52:M52),,,,,,,,
"Dec 22, 10","43,779","23,789","1,539",=1069+3593+1190+2389+3481+6542,"16,451",,"40,728","5,489",=16562+23729+438,,18,"8,652",,=SUM(B35:M35),,,,,,,,
"Jun 23, 11","49,967","27,882","3,570",=1153+3689+1261+2547+3762+6817,"35,915",,"42,118","7,639",=17068+24556+513,,95,"8,878",,=SUM(B36:M36),,,,,,,,
"Aug 12, 11","51,460","29,125","4,290","19,424","42,211",,"42,425","8,101","42,517",296,116,,,=SUM(B37:M37),,,,,,,,
,,,,,,,,,,,,,,=SUM(B56:M56),,,,,,,,
"Oct 11, 11","53,705","31,213","5,342",=1192+3729+1290+2643+3895+6896,"48,639",,"42,858","8,697",=17363+25026+574,606,146,"9,000",,=SUM(B39:M39),,,,,,,,
"Jan 3, 12","56,755","33,677","7,001",=1224+3779+1310+2755+4033+7009,"57,907",421,"43,422","10,253",=17564+25366+611,850,681,"9,094",,=SUM(B40:M40),,,,,,,,
"May 7, 12","61,497","37,252","14,977",=1262+3825+1374+2913+4189+7249,"71,299","2,154","44,204","11,977",=17803+25791+669,"1,198","1,441","9,200",,=SUM(B41:M41),,,,,,,,
"May 22, 12","62,041","37,542","15,638","20,907","72,477","2,444","44,303","12,167","44,346","1,255","1,526","9,214",,=SUM(B42:M42),,,,,,,,
"Jun 8, 12","62,283","37,724","16,326","20,960","73,113","2,737","44,151","12,344","44,239","1,335","1,566","9,226",,=SUM(B43:M43),,,,,,,,
,,,,,,,,,,,,,,=SUM(B63:M63),,,,,,,,
,,,,,,,,,,,,,,=SUM(B64:M64),,,,,,,,
"Jan 17, 13","71,384","44,408","25,363",=7669+4540+3980+3156+1483+1400,"87,881","7,810","45,338","15,892",=787+26397+18080,"5,437","3,243","9,378",,=SUM(B46:M46),,,,,,,,
"Apr 5, 13","75,203","46,960","28,574","22,738","92,113","10,644","45,779","17,044","45,569","6,199","4,388","9,455",,=SUM(B47:M47),,,,,,,,
"Jun 21, 13","79,685","50,669","31,713",=7856+4917+4089+3281+1553+1455,"95,400","12,880","46,219","17,909",=26771+18153+840,"7,207","5,282","9,505",,=SUM(B48:M48),,,,,,,,
"Oct 10, 13","85,700","54,600","36,900",=8100+5200+4200+3400+1600+1500,"98,700","15,200","46,800","19,100",=27100+18300+850,"10,000","6,100","9,600",,=SUM(B49:M49),,,,,,,,
"Dec 15, 13","88,700","57,000","39,100","24,000","101,000","17,700","47,100","19,500","46,463","10,700","6,900","9,600",,=SUM(B50:M50),,,,,,,,
"Jan 22, 14","90,200","58,600","41,600",=8100+5300+4200+3400+1600+1500,"102,000","19,100","47,200","19,900",=27400+18400+869,"11,200","7,300","9,700",,=SUM(B51:M51),,,,,,,,
"Apr 7, 14","93,200","61,000","45,200",=8200+5400+4300+3500+1600+1600,"103,000","21,400","47,500","20,400",=27500+18400+882,"12,900","8,400","9,700",,=SUM(B52:M52),,,,,,,,
"Jul 3, 14","96,800","63,000","47,500",=8300+5500+4300+3600+1600+1600,"105,000","24,900","47,900","21,000",=27700+18400+900,"14,000","9,400","9,800",,=SUM(B53:M53),,,,,,,,
"Oct 4, 14","99,700","65,000","49,500",=8400+5700+4300+3700+1600+1600,"106,000","27,400","48,100","21,600",=27800+18500+911,"15,700","10,300","9,800",,=SUM(B54:M54),,,,,,,,
"Jan 16, 15","103,000","67,100","51,100",=8500+5800+4400+3700+1600+1600,"107,000","30,900","48,400","22,000",=28000+18500+928,"16,700","11,700","9,900",,=SUM(B55:M55),,,,,,,,
"May 26, 15","107,000","68,600","52,700",=8700+6000+4300+3800+1700+1600,"108,000","34,700","48,700","22,700",=28200+18500+922,"17,600","12,900","10,000",,=SUM(B56:M56),,,,,,,,
"Jun 23, 15","107,000","68,800","53,000","26,000","109,000","35,500","48,700","22,800","47,720","17,900","13,100","10,000",,=SUM(B57:M57),,,,,,,,
"Aug 13, 15","109,000","69,200","53,500",=8700+6000+4400+3900+1600+1600,"109,000","36,800","48,900","23,100",=28300+18600+923,"18,500","13,400","10,100",,=SUM(B58:M58),,,,,,,,
"Oct 15, 15","110,000","69,900","54,000",=8800+6000+4400+3900+1600+1600,"109,000","38,300","49,000","23,300",=28400+18600+927,"19,100","13,800","10,200",,=SUM(B59:M59),,,,,,,,
"Jan 5, 16","112,000","71,000","54,600",=8800+6100+4400+4000+1700+1700,"109,000","40,400","49,200","23,600",=28500+18600+934,"19,700","14,400","10,300",,=SUM(B60:M60),,,,,,,,
"Apr 6, 16","113,000","71,600","55,100",=8900+6200+4400+4100+1700+1700,"109,000","42,300","49,200","23,900",=28600+18600+906,"20,400","15,100","10,500",,=SUM(B61:M61),,,,,,,,
"Jul 8, 16","115,000","72,100","55,700",=9000+6200+4400+4200+1800+1700,"109,000","44,000","49,300","24,200",=28800+18600+909,"20,900","15,700","10,600",,=SUM(B62:M62),,,,,,,,
"Sep 25, 16","116,000","72,600","56,300",=9100+6300+4500+4200+1800+1700,"109,000","45,000","49,500","24,300",=28900+18700+909,"21,200","16,100","10,700",,=SUM(B63:M63),,,,,,,,
"Jan 14, 17","117,000","73,100","57,000","27,900","109,000","46,000","49,600","24,500","48,609","21,200","16,900","10,900",,=SUM(B64:M64),,,,,,,,
"Apr 3, 17","118,000","73,400","58,100","28,200","109,000","46,700","49,800","24,700","48,714","22,200","17,300","10,900",,=SUM(B65:M65),,,,,,,,
"Jul 3, 17","119,000","73,800","58,700","28,300","108,000","47,600","49,900","24,900","48,817","22,400","17,600","11,000",,=SUM(B66:M66),,,,,,,,
"Oct 10, 17","120,000","74,200","59,100","28,800","108,000","48,500","50,000","25,100","48,917","22,800","17,900","11,100",,=SUM(B67:M67),,,,,,,,
"Jan 10, 18","121,000","74,500","59,400","29,100","108,000","49,400","50,100","25,300","48,911","23,100","18,300","11,100",,=SUM(B68:M68),,,,,,,,
"Apr 5, 18","122,000","74,700","59,500","29,300","108,000","49,900","50,200","25,400","48,910","23,300","18,600","11,300",,=SUM(B69:M69),,,,,,,,
"Jul 17, 18","123,000","74,800","59,900","29,400","108,000","50,400","50,200","25,500","49,012","23,500","18,800","11,400",,=SUM(B70:M70),,,,,,,,
"Sep 24, 18","123,000","75,000","60,000","29,500","108,000","50,700","50,200","25,600","49,012","23,600","18,900","11,400",,=SUM(B71:M71),,,,,,,,
"Nov 2, 18","123,000","75,100","60,000","29,500","108,000","50,900","50,200","25,700","49,013","23,700","19,000","11,400",,=SUM(B72:M72),,,,,,,,
"Jan 3, 19","124,000","75,200","60,000","29,700","108,000","51,200","50,200","25,800","49,110","23,700","19,000","11,500",,=SUM(B73:M73),,,,,,,,
"Apr 5, 19","124,000","75,400","60,200","29,900","108,000","51,400","50,300","25,900","49,210","23,800","19,100","11,600",,=SUM(B74:M74),,,,,,,,
"Jul 1, 19","125,000","75,500","60,200","30,100","108,000","51,500","50,400","26,000","49,207","23,900","19,200","11,700",,=SUM(B75:M75),,,,,,,,
"Oct 3, 19","125,000","75,600","60,100","30,200","108,000","51,600","50,400","26,100","49,408","23,900","19,300","11,700",,=SUM(B76:M76),,,,,,,,
"Jan 1, 20","125,000","75,700","60,100","30,300","108,000","52,000","50,400","26,200","49,508","24,000","19,300","11,800",,=SUM(B77:M77),,,,,,,,
"Apr 1, 20","125,000","75,900","60,200","30,500","108,000","52,200","50,500","26,300","49,609","24,000","19,400","11,900",,=SUM(B78:M78),,,,,,,,
"Jul 1, 20","125,000","76,000","60,100","30,900","108,000","52,600","50,600","26,400","49,715","24,100","19,400","11,900",,=SUM(B79:M79),,,,,,,,
"Oct 1, 20","126,000","76,100","60,100","30,900","108,000","52,700","50,600","26,500","50,019","24,200","19,400","12,000",,=SUM(B80:M80),,,,,,,,
"Jan 1, 21","126,000","76,200","60,200","31,200","108,000","52,800","50,700","26,600","50,017","24,300","19,500","12,000",,=SUM(B81:M81),,,,,,,,
"Apr 1, 21","126,000","76,300","60,000","31,200","108,000","53,000","50,800","26,800","50,118","24,400","19,500","12,000",,=SUM(B82:M82),,,,,,,,
"Jul 1, 21","126,000","76,200","60,000","31,300","108,000","52,900","50,800","26,900","50,017","24,500","19,600","12,000",,=SUM(B83:M83),,,,,,,,
"Oct 1, 21","126,000","76,200","60,000","31,400","108,000","53,000","50,800","27,000","50,117","24,500","19,700","12,000",,=SUM(B84:M84),,,,,,,,
"Jan 1, 22","126,000","76,300","59,900","31,600","108,000","53,000","50,900","27,000","50,219","24,500","19,700","12,000",,=SUM(B85:M85),,,,,,,,
"Mar 31, 22","126,000","76,400","59,900","31,700","108,000","53,100","51,000","27,100","50,219","24,600","19,700","12,000",,=SUM(B86:M86),,,,,,,,
"Jul 4, 22","126,000","76,400","59,900","31,800","108,000","53,100","51,100","27,200","50,419","24,600","19,700","12,100",,=SUM(B87:M87),,,,,,,,
"Aug 2, 22","126,000","76,500","59,800","31,800","108,000","53,100","51,100","27,200","50,419","24,700","19,700","12,100",,=SUM(B88:M88),,,,,,,,
"Sep 21, 22","127,000","76,400","59,800","31,800","108,000","53,200","51,100","27,200","50,419","24,700","19,700","12,100",,=SUM(B89:M89),,,,,,,,
"Oct 21, 22","126,000","76,300","59,800","31,800","108,000","53,200","51,000","27,200","50,419","24,700","19,700","12,100",,=SUM(B90:M90),,,,,,,,
"Jan 5, 23","127,000","76,500","59,800","31,700","108,000","53,200","51,100","27,300","50,419","24,700","19,800","12,100",,=SUM(B91:M91),,,,,,,,
"Mar 6, 23","127,000","76,500","59,800","31,700","108,000","53,300","51,000","27,300","50,421","24,700","19,800","12,100",,=SUM(B92:M92),,,,,,,,
"Apr 3, 23",=25*4829+18,=25*2569,=18+25*2359,=25*1100+862,=25*4254+5,=19+25*2105,=25*1703+6,=14+25*1073,=25*1871+893,=25*971+2,=25*799+13,=467*25,,=SUM(B93:M93),,,,,,,,
06/30/23,=25*4832+9,=25*2570+3,=25*2354+20,=25*(399+274+167+187+83+75)+16+19+22+4+24+12,=25*4248+5,=25*2104+13,=25*1703+3,=25*1073+4,=25*1135+15+25*737+17+915,=25*970+5,=25*780+2,=25*468+23,,=SUM(B94:M94),,,,=25*322+2,825,=25*43+19,219,75
,,,,,,,,,,,,,,=SUM(B95:M95),,,,,,,,
,,,,,,,,,,,,,,=SUM(B96:M96),,,,,,,,
,,,,,,,,,,,,,,=SUM(B97:M97),,,,,,,,
,,,,,,,,,,,,,,=SUM(B98:M98),,,,,,,,
,,,,,,,,,,,,,,=SUM(B99:M99),,,,,,,,
,,,,,,,,,,,,,,=SUM(B100:M100),,,,,,,,
,,,,,,,,,,,,,,=SUM(B101:M101),,,,,,,,
