TV AO3;SPN;Dr. Who;Sherlock;Star Trek;Glee;OuaT;Buffy;Merlin;Stargate;Teen Wolf;TWD;X-Files;;Total
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
Oct 6, 09;;;;;;;;;;;;;;0
Dec 6, 09;;;;;;;;;;;;;;0
Mar 27, 10;;;;;;;;;;;;;;0
Jun 10, 10;;;;;;;;;;;;;;0
Sep 22, 10;;;;;;;;;;;;;;0
Oct 25, 10;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
Sep 23, 11;;;;;;;;;;;;;;0
Oct 14, 11;;;;;;;;;;;;;;0
Jan 7, 12;;;;;;;;;;;;;;0
May 7, 12;;;;;;;;;;;;;;0
May 20, 12;;;;;;;;;;;;;;0
Jun 3, 12;;;;;;;;;;;;;;0
Jul 20, 12;;;;;;;;;;;;;;0
Oct 24, 12;;;;;;;;;;;;;;0
Jan 16, 13;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
Jun 23, 13;;;;;;;;;;;;;;0
Oct 9, 13;;;;;;;;;;;;;;0
Dec 16, 13;;;;;;;;;;;;;;0
Jan 22, 14;;;;;;;;;;;;;;0
Apr 4, 14;;;;;;;;;;;;;;0
Jul 5, 14;;;;;;;;;;;;;;0
Oct 4, 14;;;;;;;;;;;;;;0
Jan 21, 15;;;;;;;;;;;;;;0
May 13, 15;;;;;;;;;;;;;;0
Jun 23, 15;;;;;;;;;;;;;;0
Aug 13, 15;;;;;;;;;;;;;;0
Oct 15, 15;;;;;;;;;;;;;;0
Jan 7, 16;;;;;;;;;;;;;;0
Apr 6, 16;;;;;;;;;;;;;;0
Jul 8, 16;;;;;;;;;;;;;;0
Sep 24, 16;;;;;;;;;;;;;;0
Jan 11, 17;;;;;;;;;;;;;;0
Apr 3, 17;;;;;;;;;;;;;;0
Jul 5, 17;;;;;;;;;;;;;;0
Oct 10, 17;;;;;;;;;;;;;;0
Jan 10, 18;;;;;;;;;;;;;;0
Apr 2, 18;;;;;;;;;;;;;;0
Jul 17, 18;;;;;;;;;;;;;;0
Oct 7, 18;;;;;;;;;;;;;;0
Oct 30, 18;;;;;;;;;;;;;;0
Jan 5, 19;;;;;;;;;;;;;;0
Apr 4, 19;;;;;;;;;;;;;;0
Jul 1, 19;;;;;;;;;;;;;;0
Oct 3, 19;;;;;;;;;;;;;;0
Jan 1, 20;;;;;;;;;;;;;;0
Apr 1, 20;;;;;;;;;;;;;;0
Jul 1, 20;;;;;;;;;;;;;;0
Oct 1, 20;;;;;;;;;;;;;;0
Jan 1, 21;;;;;;;;;;;;;;0
Apr 1, 21;;;;;;;;;;;;;;0
Jul 1, 21;;;;;;;;;;;;;;0
Oct 1, 21;;;;;;;;;;;;;;0
Jan 1, 22;;;;;;;;;;;;;;0
Mar 31, 22;;;;;;;;;;;;;;0
Jul 4, 22;;;;;;;;;;;;;;0
Aug 2, 22;;;;;;;;;;;;;;0
Sep 21, 22;;;;;;;;;;;;;;0
Oct 21, 22;;;;;;;;;;;;;;0
Jan 5, 23;;;;;;;;;;;;;;0
Mar 6, 23;;;;;;;;;;;;;;0
Apr 3, 23;;;;;;;;;;;;;;0
06/30/23;;;;;;;;;;;;;;0
10/01/23;;;;;;;;;;;;;;0
Jan 1, 24;1,564;329;161;1,366;18;27;1,618;90;1,758;137;12;1,175;;8,255
Apr 1, 24;;;;;;;;;;;;;;0
Jun 30, 24;1,577;358;168;1,409;18;27;1,610;110;1,899;151;15;1,179;;8,521
Oct 1, 24;1,621;397;169;1,446;18;28;1,622;117;1,924;162;18;1,187;;8,709
Jan 1, 25;1,685;426;171;1,456;18;31;1,658;120;1,935;165;20;1,193;;8,878
Apr 1, 25;1,706;464;171;1,476;18;32;1,666;129;1,944;180;20;1,198;;9,004
Jul 1, 25;1,715;476;176;1,489;18;32;1,670;132;1,956;186;20;1,199;;9,069
Oct 3, 25;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
